Date : 2024-04-12 09:24:04
Directory : /Users/omarelmasaoudi/Desktop/medapp
Total : 117 files,  24554 codes, 1085 comments, 1086 blanks, all 26725 lines

Languages
+-----------------------+------------+------------+------------+------------+------------+
| language              | files      | code       | comment    | blank      | total      |
+-----------------------+------------+------------+------------+------------+------------+
| JSON                  |          4 |     12,462 |          0 |          4 |     12,466 |
| JavaScript JSX        |         52 |      9,066 |        289 |        542 |      9,897 |
| JavaScript            |         27 |      2,004 |        430 |        332 |      2,766 |
| compressionTargetFile |          3 |        589 |          0 |         28 |        617 |
| CSS                   |          4 |        119 |          4 |         24 |        147 |
| YAML                  |          3 |         88 |         37 |         27 |        152 |
| HTML                  |          2 |         65 |          0 |          2 |         67 |
| TypeScript            |          5 |         44 |        309 |         71 |        424 |
| Properties            |          2 |         30 |          0 |          9 |         39 |
| Docker                |          5 |         29 |          8 |         17 |         54 |
| Go                    |          3 |         21 |          5 |         13 |         39 |
| Python                |          1 |         14 |          3 |          8 |         25 |
| JSON with Comments    |          1 |         13 |          0 |          1 |         14 |
| Go Module File        |          2 |          8 |          0 |          5 |         13 |
| Go Checksum File      |          2 |          2 |          0 |          2 |          4 |
| Markdown              |          1 |          0 |          0 |          1 |          1 |
+-----------------------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                             | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                |        117 |     24,554 |      1,085 |      1,086 |     26,725 |
| . (Files)                                                                                                        |          2 |         58 |         37 |         19 |        114 |
| .github                                                                                                          |          1 |         30 |          0 |          8 |         38 |
| .github/workflows                                                                                                |          1 |         30 |          0 |          8 |         38 |
| GOLANGEXTRA                                                                                                      |          8 |         41 |          7 |         25 |         73 |
| GOLANGEXTRA (Files)                                                                                              |          4 |         22 |          7 |         16 |         45 |
| GOLANGEXTRA/Personele-Services                                                                                   |          1 |          0 |          0 |          1 |          1 |
| GOLANGEXTRA/middleware                                                                                           |          3 |         19 |          0 |          8 |         27 |
| desktop-client                                                                                                   |         84 |     22,456 |        398 |        796 |     23,650 |
| desktop-client (Files)                                                                                           |          5 |     11,418 |          7 |         18 |     11,443 |
| desktop-client/config                                                                                            |          3 |         22 |          2 |          6 |         30 |
| desktop-client/dist                                                                                              |          5 |        869 |         81 |        110 |      1,060 |
| desktop-client/dist (Files)                                                                                      |          1 |         30 |          0 |          1 |         31 |
| desktop-client/dist/assets                                                                                       |          4 |        839 |         81 |        109 |      1,029 |
| desktop-client/extra                                                                                             |          2 |         21 |          0 |          2 |         23 |
| desktop-client/nginx                                                                                             |          1 |          8 |          0 |          1 |          9 |
| desktop-client/public                                                                                            |          3 |        589 |          0 |         28 |        617 |
| desktop-client/src                                                                                               |         63 |      9,523 |        308 |        631 |     10,462 |
| desktop-client/src (Files)                                                                                       |          3 |         33 |          2 |         10 |         45 |
| desktop-client/src/Components                                                                                    |         22 |      3,797 |         72 |        226 |      4,095 |
| desktop-client/src/Components/ChecklistComponents                                                                |          1 |        175 |          7 |          5 |        187 |
| desktop-client/src/Components/DrawerComponents                                                                   |          1 |         80 |          0 |          8 |         88 |
| desktop-client/src/Components/HomeComponents                                                                     |          4 |        576 |          3 |         31 |        610 |
| desktop-client/src/Components/InputComponents                                                                    |          3 |        350 |          4 |         27 |        381 |
| desktop-client/src/Components/MapComponents                                                                      |          2 |        213 |         27 |         14 |        254 |
| desktop-client/src/Components/Modals                                                                             |          4 |        432 |         11 |         34 |        477 |
